Unnamed: 0,latency_32,latency_16,latency_8,latency_4,latency_2,latency_1
conv1,0.09298880100250244,0.04896698175841921,0.03518324274730682,0.023144592576460846,0.015990783828650948,0.011135496329522609
layer1.0.conv1,0.09134079813957216,0.04809915977064288,0.03455970438408852,0.022734410334984953,0.015707385642568232,0.010938146437564016
layer1.0.conv2,0.10372799634933473,0.05462213567995741,0.039246524698734284,0.025817541342568376,0.017837545475574732,0.012421525067149402
layer1.0.conv3,0.11334400177001952,0.059685828909111546,0.04288483650970458,0.028210932001178968,0.01949115819366073,0.0135730507553215
layer1.0.downsample.0,0.11212799549102784,0.0590454920444615,0.04242474837398529,0.027908272222858747,0.019282048135976313,0.013427432860366344
layer1.1.conv1,0.11868159770965575,0.06249655407377891,0.044904369309425346,0.029539441262819276,0.02040903585113382,0.014212232886433121
layer1.1.conv2,0.10086400508880616,0.053113986243695725,0.038162904965400694,0.025104703773389542,0.017345040306774615,0.01207855942154932
layer1.1.conv3,0.11182080507278444,0.0588837286122598,0.04230851980733872,0.02783181358486163,0.019229222252435448,0.013390646519022704
layer1.2.conv1,0.1176576018333435,0.06195732798573925,0.04451693022966385,0.02928457221297977,0.02023294478938222,0.014089608417688606
layer1.2.conv2,0.10444799661636353,0.05500128069055614,0.039518943999767304,0.025996746931366926,0.01796136004789424,0.012507745775926352
layer1.2.conv3,0.1130112051963806,0.0595105815290512,0.04275891959810256,0.028128100079219807,0.01943392895733761,0.013533198052799459
layer2.0.conv1,0.14264320135116576,0.07511449726442954,0.05397048166322707,0.03550340195252067,0.024529583915936706,0.017081657446411366
layer2.0.conv2,0.20142080783843996,0.10606620277774662,0.07620957685375214,0.050132945941703776,0.034637252680030345,0.02412033107421255
layer2.0.conv3,0.08488960266113281,0.0447020241165953,0.032118830062866206,0.02112872998025528,0.01459800826357269,0.010165609714897154
layer2.0.downsample.0,0.15800319910049435,0.08320291997224026,0.05978209041166304,0.0393264525355043,0.02717096009210085,0.01892103161529135
layer2.1.conv1,0.10199040174484253,0.05370713556828367,0.038589088404178615,0.02538506002492082,0.01753874067969918,0.012213446479922532
layer2.1.conv2,0.10250240564346312,0.053976751751025065,0.038782810199260706,0.02551249603337967,0.01762678723556399,0.012274759428066013
layer2.1.conv3,0.09144319891929628,0.04815308300719116,0.034598448743104936,0.022759897536676725,0.015724994953741193,0.010950409027192713
layer2.2.conv1,0.1013759970664978,0.05338359614899399,0.03835662225008011,0.025232136814770198,0.01743308481266141,0.012139870942150353
layer2.2.conv2,0.10004479885101318,0.05268260035130947,0.03785295009326935,0.024900806159855373,0.017204165817390916,0.011980458704519747
