Unnamed: 0,latency_32,latency_16,latency_8,latency_4,latency_2,latency_1
conv1,0.1025920033454895,0.054023933013644033,0.038816710385799404,0.025534796593090422,0.01764219487034583,0.01228548883710551
layer1.0.conv1,0.09624000191688538,0.05067903196394085,0.03641336712527275,0.023953805296018173,0.016549875358436463,0.011524830695148825
layer1.0.conv2,0.09554240107536316,0.05031168226899686,0.0361494228708744,0.02378017484714731,0.016429912694812414,0.011441292338631748
layer1.1.conv1,0.09557120203971864,0.05032684857161627,0.03616032000374794,0.02378734330806551,0.016434865441703438,0.011444741281186223
layer1.1.conv2,0.09530879855155944,0.0501886694932809,0.036061037019968024,0.02372203198284557,0.01638974132557547,0.01141331821681988
layer2.0.conv1,0.08765439987182617,0.046157938948512604,0.03316491873550415,0.021816878491776697,0.015073455565286635,0.010496696779787063
layer2.0.conv2,0.09308159947395324,0.049015848514520496,0.03521835397696495,0.023167689796666852,0.016006741882530567,0.011146609033709405
layer2.0.shortcut.0,0.08505920171737671,0.04479133330010781,0.03218299956178665,0.021170942601730115,0.014627173300832033,0.010185919361305475
layer2.1.conv1,0.09557440280914306,0.050328534065098594,0.03616153104686737,0.023788139968560763,0.016435415860801217,0.01144512457633352
layer2.1.conv2,0.09513279795646667,0.05009598932280374,0.03599444543480873,0.023678226040380227,0.016359475450120568,0.011392241980116962
layer3.0.conv1,0.1260543942451477,0.06637899571803944,0.04769394060659408,0.031374504949235785,0.021676896005697006,0.015095132201987025
layer3.0.conv2,0.20490241050720212,0.10789958026550185,0.07752687603950499,0.05099950486506757,0.035235965159955016,0.024537256266503327
layer3.0.shortcut.0,0.07106559872627258,0.037422440540844065,0.02688837993407249,0.01768798297203091,0.012220768680035946,0.008510172249133943
layer3.1.conv1,0.2110464096069336,0.11113494934862617,0.0798515195388794,0.052528725098261037,0.036292515630420685,0.025273005934055327
layer3.1.conv2,0.20439040660858154,0.10762996408276046,0.07733315424442291,0.05087206885660873,0.03514791860409021,0.02447594331835985
layer4.0.conv1,0.2240544080734253,0.11798483252547348,0.08477322583866119,0.055766371153446494,0.03852943114367151,0.026830725977936266
layer4.0.conv2,0.16005120277404786,0.08428137842576276,0.06055697308158874,0.039836193602261524,0.027523144265582083,0.019166281980322837
layer4.0.shortcut.0,0.09963520169258118,0.052466910543837925,0.037697974912405015,0.024798858836627392,0.017133729597688076,0.011931409059776186
layer4.1.conv1,0.16814080476760865,0.08854128272586125,0.06361775489187241,0.041849667700520427,0.028914269598356006,0.020135019423277615
layer4.1.conv2,0.15872000455856322,0.08358038262807824,0.06005330092477797,0.039504862947346696,0.02729422527031159,0.01900686974269223
